id,category,median_time_s,pred,expected,ok,err
ALG001,ALG,3.243624,980,980,1,E0
ALG002,ALG,3.236874,119,99,0,E3
ALG003,ALG,2.245398,69,69,1,E0
ALG004,ALG,3.254652,71,37,0,E3
ALG005,ALG,3.120421,38550,4025,0,E3
ALG006,ALG,3.229427,237,311,0,E3
ALG007,ALG,6.554751,112822862,110782,0,E3
ALG008,ALG,3.233238,760,640,0,E3
ALG009,ALG,3.258370,36,36,1,E0
ALG010,ALG,3.972373,-123,-123,1,E0
AR001,AR,2.246437,14,14,1,E0
AR002,AR,2.242571,80,80,1,E0
AR003,AR,3.880386,9791,979,0,E1
AR004,AR,2.959896,593,593,1,E0
AR005,AR,1.707969,43,43,1,E0
AR006,AR,2.959245,528,528,1,E0
AR007,AR,4.985547,4391550,434350,0,E1
AR008,AR,3.262488,59,59,1,E0
AR009,AR,2.405835,1047,1047,1,E0
AR010,AR,2.944034,1113,1213,0,E1
LOG001,LOG,1.548430,Yes,Yes,1,E0
LOG002,LOG,1.539294,No,No,1,E0
LOG003,LOG,2.306044,Yes,Yes,1,E0
LOG004,LOG,2.320117,No,No,1,E0
LOG005,LOG,1.549503,No,Yes,0,E2
LOG006,LOG,1.536946,No,No,1,E0
LOG007,LOG,2.310116,Yes,Yes,1,E0
LOG008,LOG,2.311195,No,No,1,E0
LOG009,LOG,1.539870,Yes,Yes,1,E0
LOG010,LOG,1.542307,No,No,1,E0
WP001,WP,4.202920,2504,300,0,E5
WP002,WP,3.241845,775,10,0,E5
WP003,WP,3.237114,1600,1400,0,E5
WP004,WP,3.285429,5,15,0,E5
WP005,WP,3.253351,120,240,0,E5
WP006,WP,2.267877,20,20,1,E0
WP007,WP,3.301413,8,10,0,E5
WP008,WP,3.312364,1,2,0,E5
WP009,WP,4.267563,1375,25,0,E5
WP010,WP,3.285152,13,25,0,E5
