id,category,trial,time_s,pred,expected,err,raw
ALG001,ALG,1,3.218823,980,980,E0, 980
ALG001,ALG,2,3.244671,980,980,E0, 980
ALG001,ALG,3,3.243624,980,980,E0, 980
ALG002,ALG,1,3.211592,119,99,E3, 119
ALG002,ALG,2,3.236874,119,99,E3, 119
ALG002,ALG,3,3.239504,119,99,E3, 119
ALG003,ALG,1,2.229273,69,69,E0, 69
ALG003,ALG,2,2.252379,69,69,E0, 69
ALG003,ALG,3,2.245398,69,69,E0, 69
ALG004,ALG,1,3.240437,71,37,E3, 71
ALG004,ALG,2,3.254732,71,37,E3, 71
ALG004,ALG,3,3.254652,71,37,E3, 71
ALG005,ALG,1,3.112871,38550,4025,E3, 38550
ALG005,ALG,2,3.120421,38550,4025,E3, 38550
ALG005,ALG,3,3.126794,38550,4025,E3, 38550
ALG006,ALG,1,3.212455,237,311,E3, 237
ALG006,ALG,2,3.229427,237,311,E3, 237
ALG006,ALG,3,3.236033,237,311,E3, 237
ALG007,ALG,1,6.539001,112822862,110782,E3, 112822862
ALG007,ALG,2,6.573262,112822862,110782,E3, 112822862
ALG007,ALG,3,6.554751,112822862,110782,E3, 112822862
ALG008,ALG,1,3.222432,760,640,E3, 760
ALG008,ALG,2,3.233238,760,640,E3, 760
ALG008,ALG,3,3.240212,760,640,E3, 760
ALG009,ALG,1,3.242274,36,36,E0, 36
ALG009,ALG,2,3.258497,36,36,E0, 36
ALG009,ALG,3,3.258370,36,36,E0, 36
ALG010,ALG,1,3.949749,-123,-123,E0, -123
ALG010,ALG,2,3.972373,-123,-123,E0, -123
ALG010,ALG,3,3.972800,-123,-123,E0, -123
AR001,AR,1,2.234573,14,14,E0, 14
AR001,AR,2,2.249655,14,14,E0, 14
AR001,AR,3,2.246437,14,14,E0, 14
AR002,AR,1,2.234694,80,80,E0, 80
AR002,AR,2,2.242571,80,80,E0, 80
AR002,AR,3,2.243838,80,80,E0, 80
AR003,AR,1,3.867591,9791,979,E1, 9791
AR003,AR,2,3.885051,9791,979,E1, 9791
AR003,AR,3,3.880386,9791,979,E1, 9791
AR004,AR,1,2.937069,593,593,E0, 593
AR004,AR,2,2.960165,593,593,E0, 593
AR004,AR,3,2.959896,593,593,E0, 593
AR005,AR,1,1.706840,43,43,E0, 43
AR005,AR,2,1.707969,43,43,E0, 43
AR005,AR,3,1.708132,43,43,E0, 43
AR006,AR,1,2.940534,528,528,E0, 528
AR006,AR,2,2.959245,528,528,E0, 528
AR006,AR,3,2.964799,528,528,E0, 528
AR007,AR,1,4.959908,4391550,434350,E1, 4391550
AR007,AR,2,4.990132,4391550,434350,E1, 4391550
AR007,AR,3,4.985547,4391550,434350,E1, 4391550
AR008,AR,1,3.237585,59,59,E0, 59
AR008,AR,2,3.262488,59,59,E0, 59
AR008,AR,3,3.262799,59,59,E0, 59
AR009,AR,1,2.398339,1047,1047,E0, 1047
AR009,AR,2,2.405835,1047,1047,E0, 1047
AR009,AR,3,2.411665,1047,1047,E0, 1047
AR010,AR,1,2.939436,1113,1213,E1, 1113
AR010,AR,2,2.944034,1113,1213,E1, 1113
AR010,AR,3,2.945297,1113,1213,E1, 1113
LOG001,LOG,1,1.533615,Yes,Yes,E0, Yes
LOG001,LOG,2,1.548430,Yes,Yes,E0, Yes
LOG001,LOG,3,1.561490,Yes,Yes,E0, Yes
LOG002,LOG,1,1.535826,No,No,E0, No
LOG002,LOG,2,1.544849,No,No,E0, No
LOG002,LOG,3,1.539294,No,No,E0, No
LOG003,LOG,1,2.303934,Yes,Yes,E0, Yes
LOG003,LOG,2,2.311380,Yes,Yes,E0, Yes
LOG003,LOG,3,2.306044,Yes,Yes,E0, Yes
LOG004,LOG,1,2.293747,No,No,E0, No
LOG004,LOG,2,2.320117,No,No,E0, No
LOG004,LOG,3,2.326729,No,No,E0, No
LOG005,LOG,1,1.535772,No,Yes,E2, No
LOG005,LOG,2,1.549503,No,Yes,E2, No
LOG005,LOG,3,1.549842,No,Yes,E2, No
LOG006,LOG,1,1.532945,No,No,E0, No
LOG006,LOG,2,1.543792,No,No,E0, No
LOG006,LOG,3,1.536946,No,No,E0, No
LOG007,LOG,1,2.297990,Yes,Yes,E0, Yes
LOG007,LOG,2,2.310116,Yes,Yes,E0, Yes
LOG007,LOG,3,2.314246,Yes,Yes,E0, Yes
LOG008,LOG,1,2.302147,No,No,E0, No
LOG008,LOG,2,2.311195,No,No,E0, No
LOG008,LOG,3,2.311802,No,No,E0, No
LOG009,LOG,1,1.537338,Yes,Yes,E0, Yes
LOG009,LOG,2,1.539870,Yes,Yes,E0, Yes
LOG009,LOG,3,1.543299,Yes,Yes,E0, Yes
LOG010,LOG,1,1.537589,No,No,E0, No
LOG010,LOG,2,1.542307,No,No,E0, No
LOG010,LOG,3,1.544214,No,No,E0, No
WP001,WP,1,4.183155,2504,300,E5, 2504
WP001,WP,2,4.205965,2504,300,E5, 2504
WP001,WP,3,4.202920,2504,300,E5, 2504
WP002,WP,1,3.235356,775,10,E5, 775
WP002,WP,2,3.241845,775,10,E5, 775
WP002,WP,3,3.253072,775,10,E5, 775
WP003,WP,1,3.223923,1600,1400,E5, 1600
WP003,WP,2,3.237114,1600,1400,E5, 1600
WP003,WP,3,3.238712,1600,1400,E5, 1600
WP004,WP,1,3.275113,5,15,E5, 5
WP004,WP,2,3.285781,5,15,E5, 5
WP004,WP,3,3.285429,5,15,E5, 5
WP005,WP,1,3.227627,120,240,E5, 120
WP005,WP,2,3.254006,120,240,E5, 120
WP005,WP,3,3.253351,120,240,E5, 120
WP006,WP,1,2.260911,20,20,E0, 20
WP006,WP,2,2.267877,20,20,E0, 20
WP006,WP,3,2.275161,20,20,E0, 20
WP007,WP,1,3.280960,8,10,E5, 8
WP007,WP,2,3.301413,8,10,E5, 8
WP007,WP,3,3.302240,8,10,E5, 8
WP008,WP,1,3.294201,1,2,E5, 1
WP008,WP,2,3.316575,1,2,E5, 1
WP008,WP,3,3.312364,1,2,E5, 1
WP009,WP,1,4.248169,1375,25,E5, 1375
WP009,WP,2,4.267563,1375,25,E5, 1375
WP009,WP,3,4.290989,1375,25,E5, 1375
WP010,WP,1,3.273833,13,25,E5, 13
WP010,WP,2,3.289346,13,25,E5, 13
WP010,WP,3,3.285152,13,25,E5, 13
