id,category,expected,acc,median_time_s
ALG001,ALG,980,1.000,8.896751
ALG002,ALG,99,1.000,8.896816
ALG003,ALG,69,1.000,8.899961
ALG004,ALG,37,1.000,8.893076
ALG005,ALG,4025,1.000,8.891373
ALG006,ALG,311,0.000,8.889700
ALG007,ALG,110782,0.000,5.198483
ALG008,ALG,640,1.000,8.896704
ALG009,ALG,36,0.000,8.898474
ALG010,ALG,-123,1.000,8.884117
AR001,AR,14,1.000,8.893810
AR002,AR,80,1.000,8.891227
AR003,AR,979,0.000,8.890706
AR004,AR,593,0.000,8.891324
AR005,AR,43,1.000,9.237207
AR006,AR,528,0.000,9.249021
AR007,AR,434350,0.000,9.252439
AR008,AR,59,0.000,9.237245
AR009,AR,1047,1.000,9.249569
AR010,AR,1213,0.000,9.248927
LOG001,LOG,Yes,0.000,4.649281
LOG002,LOG,No,0.000,4.636451
LOG003,LOG,Yes,0.000,4.649631
LOG004,LOG,No,0.000,4.645903
LOG005,LOG,Yes,0.000,4.647591
LOG006,LOG,No,0.000,4.644207
LOG007,LOG,Yes,0.000,4.644672
LOG008,LOG,No,0.000,4.650784
LOG009,LOG,Yes,0.000,4.640620
LOG010,LOG,No,0.000,4.644134
WP001,WP,300,0.000,9.315707
WP002,WP,10,0.000,9.323306
WP003,WP,1400,1.000,9.290367
WP004,WP,15,0.000,9.278742
WP005,WP,240,0.000,9.269580
WP006,WP,20,0.000,9.359340
WP007,WP,10,0.000,9.311658
WP008,WP,2,0.000,9.310499
WP009,WP,25,0.000,9.414531
WP010,WP,25,0.000,9.304983
