id,category,variant,expected_answer,final_output,correct,latency_wall_median_s,latency_compute_median_s
T3_0192,AR,phi2_server_grammar,324,4,0,1.3758,1.3713
T3_0208,AR,phi2_server_grammar,931,589,0,1.8085,1.8041
T3_0024,AR,phi2_server_grammar,613,613,1,1.8037,1.7982
T3_0012,AR,phi2_server_grammar,632,752,0,1.8100,1.8056
T3_0080,AR,phi2_server_grammar,10000,10000,1,1.3590,1.3511
T3_0249,AR,phi2_server_grammar,-224,-28,0,1.8038,1.7978
T3_0250,AR,phi2_server_grammar,99,99,1,1.3576,1.3523
T3_0144,AR,phi2_server_grammar,499,441,0,1.8072,1.8027
T3_0012,AR,phi2_server_grammar,632,752,0,1.8084,1.8039
T3_0189,AR,phi2_server_grammar,4524,4446,0,1.8054,1.7988
T3_0011,AR,phi2_server_grammar,155,155,1,1.3528,1.3482
T3_0012,AR,phi2_server_grammar,632,752,0,1.8116,1.8026
T3_0234,AR,phi2_server_grammar,146,146,1,1.3627,1.3580
T3_0147,AR,phi2_server_grammar,227,443,0,3.1620,3.1575
T3_0034,AR,phi2_server_grammar,2744,2744,1,1.8045,1.8001
T3_0232,AR,phi2_server_grammar,912,882,0,1.8124,1.8077
T3_0114,AR,phi2_server_grammar,25,25,1,1.3548,1.3503
T3_0024,AR,phi2_server_grammar,613,613,1,1.8025,1.7980
T3_0147,AR,phi2_server_grammar,227,443,0,3.1530,3.1480
T3_0233,AR,phi2_server_grammar,922,998,0,1.8072,1.8028
T3_0113,AR,phi2_server_grammar,8,8,1,1.3542,1.3497
T3_0193,AR,phi2_server_grammar,1064,656,0,1.8123,1.8078
T3_0231,AR,phi2_server_grammar,648,572,0,1.8064,1.7997
T3_0024,AR,phi2_server_grammar,613,613,1,1.8013,1.7958
T3_0134,AR,phi2_server_grammar,-100,-36,0,1.8093,1.8019
T3_0238,AR,phi2_server_grammar,14641,14641,1,1.8072,1.8028
T3_0239,AR,phi2_server_grammar,267,255,0,1.3602,1.3547
T3_0243,AR,phi2_server_grammar,1817,1767,0,1.8037,1.7986
T3_0090,AR,phi2_server_grammar,78,78,1,1.3560,1.3515
T3_0234,AR,phi2_server_grammar,146,146,1,1.3543,1.3467
T3_0031,AR,phi2_server_grammar,504,504,1,1.3580,1.3490
T3_0250,AR,phi2_server_grammar,99,99,1,1.3632,1.3587
T3_0247,AR,phi2_server_grammar,675,707,0,1.8080,1.7999
T3_0034,AR,phi2_server_grammar,2744,2744,1,1.8042,1.7998
T3_0080,AR,phi2_server_grammar,10000,10000,1,1.3635,1.3569
T3_0203,AR,phi2_server_grammar,408,408,1,1.3532,1.3488
T3_0220,AR,phi2_server_grammar,866,933,0,1.8151,1.8010
T3_0199,AR,phi2_server_grammar,152,160,0,1.3579,1.3535
T3_0090,AR,phi2_server_grammar,78,78,1,1.3537,1.3493
T3_0232,AR,phi2_server_grammar,912,882,0,1.8052,1.8007
T3_0175,AR,phi2_server_grammar,5040,5040,1,1.8002,1.7958
T3_0080,AR,phi2_server_grammar,10000,10000,1,1.3565,1.3520
T3_0196,AR,phi2_server_grammar,130,130,1,1.3566,1.3522
T3_0233,AR,phi2_server_grammar,922,998,0,1.8070,1.8003
T3_0220,AR,phi2_server_grammar,866,933,0,1.8108,1.8032
T3_0175,AR,phi2_server_grammar,5040,5040,1,1.8039,1.7971
T3_0189,AR,phi2_server_grammar,4524,4446,0,1.8081,1.7974
T3_0147,AR,phi2_server_grammar,227,443,0,3.1668,3.1524
T3_0159,AR,phi2_server_grammar,180,180,1,1.3579,1.3533
