id,category,variant,trial,status,latency_wall_s,latency_compute_s,expected_answer,final_output,correct,log_file
T3_0192,AR,phi2_server_grammar,1,ok,1.3954,1.3740,324,4,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0192__phi2_server_grammar__r1.json
T3_0192,AR,phi2_server_grammar,2,ok,1.3734,1.3684,324,4,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0192__phi2_server_grammar__r2.json
T3_0192,AR,phi2_server_grammar,3,ok,1.3758,1.3713,324,4,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0192__phi2_server_grammar__r3.json
T3_0208,AR,phi2_server_grammar,1,ok,1.8214,1.8041,931,589,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0208__phi2_server_grammar__r1.json
T3_0208,AR,phi2_server_grammar,2,ok,1.8039,1.7994,931,589,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0208__phi2_server_grammar__r2.json
T3_0208,AR,phi2_server_grammar,3,ok,1.8085,1.8041,931,589,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0208__phi2_server_grammar__r3.json
T3_0024,AR,phi2_server_grammar,1,ok,1.8141,1.7970,613,613,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0024__phi2_server_grammar__r1.json
T3_0024,AR,phi2_server_grammar,2,ok,1.8026,1.7982,613,613,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0024__phi2_server_grammar__r2.json
T3_0024,AR,phi2_server_grammar,3,ok,1.8037,1.7993,613,613,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0024__phi2_server_grammar__r3.json
T3_0012,AR,phi2_server_grammar,1,ok,1.8269,1.8103,632,752,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0012__phi2_server_grammar__r1.json
T3_0012,AR,phi2_server_grammar,2,ok,1.8084,1.8039,632,752,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0012__phi2_server_grammar__r2.json
T3_0012,AR,phi2_server_grammar,3,ok,1.8100,1.8056,632,752,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0012__phi2_server_grammar__r3.json
T3_0080,AR,phi2_server_grammar,1,ok,1.3689,1.3511,10000,10000,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0080__phi2_server_grammar__r1.json
T3_0080,AR,phi2_server_grammar,2,ok,1.3522,1.3478,10000,10000,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0080__phi2_server_grammar__r2.json
T3_0080,AR,phi2_server_grammar,3,ok,1.3590,1.3543,10000,10000,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0080__phi2_server_grammar__r3.json
T3_0249,AR,phi2_server_grammar,1,ok,1.8151,1.7978,-224,-28,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0249__phi2_server_grammar__r1.json
T3_0249,AR,phi2_server_grammar,2,ok,1.8011,1.7966,-224,-28,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0249__phi2_server_grammar__r2.json
T3_0249,AR,phi2_server_grammar,3,ok,1.8038,1.7994,-224,-28,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0249__phi2_server_grammar__r3.json
T3_0250,AR,phi2_server_grammar,1,ok,1.3653,1.3488,99,99,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0250__phi2_server_grammar__r1.json
T3_0250,AR,phi2_server_grammar,2,ok,1.3568,1.3523,99,99,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0250__phi2_server_grammar__r2.json
T3_0250,AR,phi2_server_grammar,3,ok,1.3576,1.3530,99,99,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0250__phi2_server_grammar__r3.json
T3_0144,AR,phi2_server_grammar,1,ok,1.8377,1.8211,499,441,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0144__phi2_server_grammar__r1.json
T3_0144,AR,phi2_server_grammar,2,ok,1.8072,1.8027,499,441,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0144__phi2_server_grammar__r2.json
T3_0144,AR,phi2_server_grammar,3,ok,1.8041,1.7990,499,441,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0144__phi2_server_grammar__r3.json
T3_0012,AR,phi2_server_grammar,1,ok,1.8251,1.8067,632,752,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0012__phi2_server_grammar__r1.json
T3_0012,AR,phi2_server_grammar,2,ok,1.8022,1.7978,632,752,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0012__phi2_server_grammar__r2.json
T3_0012,AR,phi2_server_grammar,3,ok,1.8084,1.8039,632,752,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0012__phi2_server_grammar__r3.json
T3_0189,AR,phi2_server_grammar,1,ok,1.8165,1.7988,4524,4446,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0189__phi2_server_grammar__r1.json
T3_0189,AR,phi2_server_grammar,2,ok,1.8054,1.8009,4524,4446,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0189__phi2_server_grammar__r2.json
T3_0189,AR,phi2_server_grammar,3,ok,1.8011,1.7967,4524,4446,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0189__phi2_server_grammar__r3.json
T3_0011,AR,phi2_server_grammar,1,ok,4.8411,4.8292,155,155,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0011__phi2_server_grammar__r1.json
T3_0011,AR,phi2_server_grammar,2,ok,1.3526,1.3482,155,155,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0011__phi2_server_grammar__r2.json
T3_0011,AR,phi2_server_grammar,3,ok,1.3528,1.3482,155,155,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0011__phi2_server_grammar__r3.json
T3_0012,AR,phi2_server_grammar,1,ok,1.8169,1.7993,632,752,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0012__phi2_server_grammar__r1.json
T3_0012,AR,phi2_server_grammar,2,ok,1.8071,1.8026,632,752,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0012__phi2_server_grammar__r2.json
T3_0012,AR,phi2_server_grammar,3,ok,1.8116,1.8069,632,752,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0012__phi2_server_grammar__r3.json
T3_0234,AR,phi2_server_grammar,1,ok,1.3788,1.3615,146,146,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0234__phi2_server_grammar__r1.json
T3_0234,AR,phi2_server_grammar,2,ok,1.3627,1.3580,146,146,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0234__phi2_server_grammar__r2.json
T3_0234,AR,phi2_server_grammar,3,ok,1.3598,1.3553,146,146,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0234__phi2_server_grammar__r3.json
T3_0147,AR,phi2_server_grammar,1,ok,3.2018,3.1849,227,443,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0147__phi2_server_grammar__r1.json
T3_0147,AR,phi2_server_grammar,2,ok,3.1523,3.1479,227,443,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0147__phi2_server_grammar__r2.json
T3_0147,AR,phi2_server_grammar,3,ok,3.1620,3.1575,227,443,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0147__phi2_server_grammar__r3.json
T3_0034,AR,phi2_server_grammar,1,ok,1.8216,1.8039,2744,2744,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0034__phi2_server_grammar__r1.json
T3_0034,AR,phi2_server_grammar,2,ok,1.8045,1.8001,2744,2744,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0034__phi2_server_grammar__r2.json
