id,category,median_time_s,pred,expected,ok,err
AR001,AR,3.098790,192,182,0,E1
AR002,AR,3.100282,26,26,1,E0
AR003,AR,3.094383,169,169,1,E0
AR004,AR,3.111726,73,73,1,E0
AR005,AR,7.896077,17000500001,17,0,E7
AR006,AR,3.499011,83,83,1,E0
AR007,AR,3.089463,118,118,1,E0
AR008,AR,4.131980,41,41,1,E0
AR009,AR,3.108398,23,23,1,E0
AR010,AR,3.110187,12,12,1,E0
ALG001,ALG,4.650031,28,28,1,E0
ALG002,ALG,4.515392,132,132,1,E0
ALG003,ALG,4.507011,282,252,0,E3
ALG004,ALG,3.477351,146,146,1,E0
ALG005,ALG,4.517107,24,24,1,E0
ALG006,ALG,4.501096,103,103,1,E0
ALG007,ALG,3.484158,196,186,0,E3
ALG008,ALG,4.532382,35,35,1,E0
ALG009,ALG,4.499431,222,222,1,E0
ALG010,ALG,4.534684,48,48,1,E0
LOG001,LOG,1.669388,No,No,1,E0
LOG002,LOG,1.669581,Yes,Yes,1,E0
LOG003,LOG,1.712770,Yes,Yes,1,E0
LOG004,LOG,1.662162,No,No,1,E0
LOG005,LOG,1.589823,Yes,Yes,1,E0
LOG006,LOG,2.466010,Yes,No,0,E2
LOG007,LOG,1.688269,No,No,1,E0
LOG008,LOG,2.491625,Yes,Yes,1,E0
LOG009,LOG,1.678248,Yes,Yes,1,E0
LOG010,LOG,1.632780,No,Yes,0,E2
WP001,WP,3.328335,15,16,0,E5
WP002,WP,3.366691,0,21,0,E5
WP003,WP,7.756952,02520505050,7,0,E7
WP004,WP,9.153346,55,184,0,E5
WP005,WP,2.319813,6,6,1,E0
WP006,WP,4.256826,2508,2400,0,E5
WP007,WP,2.346878,62,14,0,E5
WP008,WP,2.391357,9,10,0,E5
WP009,WP,6.870192,4,4,1,E0
WP010,WP,3.320013,180,540,0,E5
