id,category,trial,time_s,pred,expected,err,raw
AR001,AR,1,3.098790,192,182,E1, 192
AR002,AR,1,3.100282,26,26,E0, 26
AR003,AR,1,3.094383,169,169,E0, 169
AR004,AR,1,3.111726,73,73,E0, 73
AR005,AR,1,7.896077,17000500001,17,E7, 17000500001
AR006,AR,1,3.499011,83,83,E0, 83
AR007,AR,1,3.089463,118,118,E0, 118
AR008,AR,1,4.131980,41,41,E0, 41
AR009,AR,1,3.108398,23,23,E0, 23
AR010,AR,1,3.110187,12,12,E0, 12
ALG001,ALG,1,4.650031,28,28,E0, 28
ALG002,ALG,1,4.515392,132,132,E0, 132
ALG003,ALG,1,4.507011,282,252,E3, 282
ALG004,ALG,1,3.477351,146,146,E0, 146
ALG005,ALG,1,4.517107,24,24,E0, 24
ALG006,ALG,1,4.501096,103,103,E0, 103
ALG007,ALG,1,3.484158,196,186,E3, 196
ALG008,ALG,1,4.532382,35,35,E0, 35
ALG009,ALG,1,4.499431,222,222,E0, 222
ALG010,ALG,1,4.534684,48,48,E0, 48
LOG001,LOG,1,1.669388,No,No,E0, No
LOG002,LOG,1,1.669581,Yes,Yes,E0, Yes
LOG003,LOG,1,1.712770,Yes,Yes,E0, Yes
LOG004,LOG,1,1.662162,No,No,E0, No
LOG005,LOG,1,1.589823,Yes,Yes,E0, Yes
LOG006,LOG,1,2.466010,Yes,No,E2, Yes
LOG007,LOG,1,1.688269,No,No,E0, No
LOG008,LOG,1,2.491625,Yes,Yes,E0, Yes
LOG009,LOG,1,1.678248,Yes,Yes,E0, Yes
LOG010,LOG,1,1.632780,No,Yes,E2, No
WP001,WP,1,3.328335,15,16,E5, 15
WP002,WP,1,3.366691,0,21,E5, 0
WP003,WP,1,7.756952,02520505050,7,E7, 02520505050
WP004,WP,1,9.153346,55,184,E5, 55
WP005,WP,1,2.319813,6,6,E0, 6
WP006,WP,1,4.256826,2508,2400,E5, 2508
WP007,WP,1,2.346878,62,14,E5, 62
WP008,WP,1,2.391357,9,10,E5, 9
WP009,WP,1,6.870192,4,4,E0, 4
WP010,WP,1,3.320013,180,540,E5, 180
