id,category,median_time_s,pred,expected,ok,err
AR001,AR,3.467813,192,182,0,E1
AR002,AR,3.419351,26,26,1,E0
AR003,AR,3.349091,169,169,1,E0
AR004,AR,3.591442,73,73,1,E0
AR005,AR,8.802501,17000500001,17,0,E1
AR006,AR,3.512683,83,83,1,E0
AR007,AR,3.383453,118,118,1,E0
AR008,AR,4.953333,41,41,1,E0
AR009,AR,3.527308,23,23,1,E0
AR010,AR,3.478566,12,12,1,E0
ALG001,ALG,5.123184,28,28,1,E0
ALG002,ALG,4.938137,132,132,1,E0
ALG003,ALG,4.934566,282,252,0,E3
ALG004,ALG,3.451030,146,146,1,E0
ALG005,ALG,5.008008,24,24,1,E0
ALG006,ALG,4.908111,103,103,1,E0
ALG007,ALG,3.418231,196,186,0,E3
ALG008,ALG,4.974969,35,35,1,E0
ALG009,ALG,5.067364,222,222,1,E0
ALG010,ALG,3.891166,48,48,1,E0
LOG001,LOG,1.974458,No,No,1,E0
LOG002,LOG,1.654084,Yes,Yes,1,E0
LOG003,LOG,1.635147,Yes,Yes,1,E0
LOG004,LOG,1.601561,No,No,1,E0
LOG005,LOG,1.762685,Yes,Yes,1,E0
LOG006,LOG,2.637244,Yes,No,0,E2
LOG007,LOG,1.856490,No,No,1,E0
LOG008,LOG,3.982115,Yes,Yes,1,E0
LOG009,LOG,2.611320,Yes,Yes,1,E0
LOG010,LOG,2.542475,No,Yes,0,E2
WP001,WP,4.663116,15,16,0,E5
WP002,WP,4.942002,0,21,0,E5
WP003,WP,10.583914,02520505050,7,0,E5
WP004,WP,2.748534,55,184,0,E5
WP005,WP,2.727631,6,6,1,E0
WP006,WP,6.459732,2508,2400,0,E5
WP007,WP,2.675843,62,14,0,E5
WP008,WP,2.816814,9,10,0,E5
WP009,WP,2.422268,4,4,1,E0
WP010,WP,3.347945,180,540,0,E5
