id,category,trial,time_s,pred,expected,err,raw
AR001,AR,1,4.982082,192,182,E1, 192
AR001,AR,2,3.467813,192,182,E1, 192
AR001,AR,3,3.381787,192,182,E1, 192
AR002,AR,1,4.726892,26,26,E0, 26
AR002,AR,2,3.419351,26,26,E0, 26
AR002,AR,3,3.388813,26,26,E0, 26
AR003,AR,1,4.711172,169,169,E0, 169
AR003,AR,2,3.333199,169,169,E0, 169
AR003,AR,3,3.349091,169,169,E0, 169
AR004,AR,1,4.729123,73,73,E0, 73
AR004,AR,2,3.591442,73,73,E0, 73
AR004,AR,3,3.402589,73,73,E0, 73
AR005,AR,1,11.918812,17000500001,17,E1, 17000500001
AR005,AR,2,8.802501,17000500001,17,E1, 17000500001
AR005,AR,3,8.800612,17000500001,17,E1, 17000500001
AR006,AR,1,5.270068,83,83,E0, 83
AR006,AR,2,3.418746,83,83,E0, 83
AR006,AR,3,3.512683,83,83,E0, 83
AR007,AR,1,4.733603,118,118,E0, 118
AR007,AR,2,3.367273,118,118,E0, 118
AR007,AR,3,3.383453,118,118,E0, 118
AR008,AR,1,6.262900,41,41,E0, 41
AR008,AR,2,4.953333,41,41,E0, 41
AR008,AR,3,4.947904,41,41,E0, 41
AR009,AR,1,4.689117,23,23,E0, 23
AR009,AR,2,3.391874,23,23,E0, 23
AR009,AR,3,3.527308,23,23,E0, 23
AR010,AR,1,4.778714,12,12,E0, 12
AR010,AR,2,3.385572,12,12,E0, 12
AR010,AR,3,3.478566,12,12,E0, 12
ALG001,ALG,1,6.981778,28,28,E0, 28
ALG001,ALG,2,5.123184,28,28,E0, 28
ALG001,ALG,3,4.962775,28,28,E0, 28
ALG002,ALG,1,6.929050,132,132,E0, 132
ALG002,ALG,2,4.928802,132,132,E0, 132
ALG002,ALG,3,4.938137,132,132,E0, 132
ALG003,ALG,1,6.782449,282,252,E3, 282
ALG003,ALG,2,4.934566,282,252,E3, 282
ALG003,ALG,3,4.925104,282,252,E3, 282
ALG004,ALG,1,5.249664,146,146,E0, 146
ALG004,ALG,2,3.451030,146,146,E0, 146
ALG004,ALG,3,3.356249,146,146,E0, 146
ALG005,ALG,1,6.972705,24,24,E0, 24
ALG005,ALG,2,5.008008,24,24,E0, 24
ALG005,ALG,3,4.964861,24,24,E0, 24
ALG006,ALG,1,6.778364,103,103,E0, 103
ALG006,ALG,2,4.908111,103,103,E0, 103
ALG006,ALG,3,4.900053,103,103,E0, 103
ALG007,ALG,1,5.322091,196,186,E3, 196
ALG007,ALG,2,3.418231,196,186,E3, 196
ALG007,ALG,3,3.383308,196,186,E3, 196
ALG008,ALG,1,6.735653,35,35,E0, 35
ALG008,ALG,2,4.974969,35,35,E0, 35
ALG008,ALG,3,4.928962,35,35,E0, 35
ALG009,ALG,1,6.846794,222,222,E0, 222
ALG009,ALG,2,4.897280,222,222,E0, 222
ALG009,ALG,3,5.067364,222,222,E0, 222
ALG010,ALG,1,7.039215,48,48,E0, 48
ALG010,ALG,2,3.425637,48,48,E0, 48
ALG010,ALG,3,3.891166,48,48,E0, 48
LOG001,LOG,1,2.034609,No,No,E0, No
LOG001,LOG,2,1.974458,No,No,E0, No
LOG001,LOG,3,1.853306,No,No,E0, No
LOG002,LOG,1,2.117842,Yes,Yes,E0, Yes
LOG002,LOG,2,1.654084,Yes,Yes,E0, Yes
LOG002,LOG,3,1.645582,Yes,Yes,E0, Yes
LOG003,LOG,1,1.783237,Yes,Yes,E0, Yes
LOG003,LOG,2,1.632668,Yes,Yes,E0, Yes
