id,category,median_time_s,pred,expected,ok,err
AR001,AR,4.086576,192,182,0,E1
AR002,AR,4.090171,26,26,1,E0
AR003,AR,4.081759,169,169,1,E0
AR004,AR,4.034974,73,73,1,E0
AR005,AR,43.592823,170005000000050000000500005000050000500005000050000500005000050000500005000050000,17,0,E1
AR006,AR,4.937990,83,83,1,E0
AR007,AR,4.073762,118,118,1,E0
AR008,AR,5.373410,41,41,1,E0
AR009,AR,4.026520,23,23,1,E0
AR010,AR,4.036117,12,12,1,E0
ALG001,ALG,5.950384,28,28,1,E0
ALG002,ALG,5.941844,132,132,1,E0
ALG003,ALG,6.040467,282,252,0,E3
ALG004,ALG,4.540370,146,146,1,E0
ALG005,ALG,5.899809,24,24,1,E0
ALG006,ALG,5.955438,103,103,1,E0
ALG007,ALG,4.679508,196,186,0,E3
ALG008,ALG,5.910838,35,35,1,E0
ALG009,ALG,5.877611,222,222,1,E0
ALG010,ALG,6.043085,48,48,1,E0
LOG001,LOG,2.717911,No,No,1,E0
LOG002,LOG,2.686545,Yes,Yes,1,E0
LOG003,LOG,2.749975,Yes,Yes,1,E0
LOG004,LOG,11.056529,No,No,1,E0
LOG005,LOG,21.753949,Yes,Yes,1,E0
LOG006,LOG,57.980547,Yes,No,0,E2
LOG007,LOG,30.229980,No,No,1,E0
LOG008,LOG,57.688654,Yes,Yes,1,E0
LOG009,LOG,25.121917,Yes,Yes,1,E0
LOG010,LOG,39.364120,No,Yes,0,E2
WP001,WP,4.260115,15,16,0,E5
WP002,WP,4.059954,0,21,0,E5
WP003,WP,52.334683,0252050505050505050505050505050505050505050505050505050505050,7,0,E5
WP004,WP,13.487313,55,184,0,E5
WP005,WP,10.094115,6,6,1,E0
WP006,WP,54.289283,000000000000000000000000000000000700050000000000000500000000000005000000000000050000000000000500000000000005000000000000050000000000000500000000000005,2400,0,E5
WP007,WP,30.481854,62,14,0,E5
WP008,WP,25.448117,9,10,0,E5
WP009,WP,9.545969,4,4,1,E0
WP010,WP,50.358826,00000000000000000000000000000000060606060606060606060606060606060606060606060606060606060,540,0,E5
