id,category,route,expected_answer,final_output,correct,latency_wall_median_s
AR01,AR,mixed,408,408,1,6.0060
AR02,AR,mixed,266,266,1,6.3209
AR03,AR,mixed,784,784,1,6.9530
AR04,AR,mixed,613,613,1,2.3145
AR05,AR,mixed,25,25,1,1.6585
AR06,AR,mixed,12,12,1,1.7392
AR07,AR,mixed,225,225,1,1.6821
AR08,AR,mixed,729,729,1,2.2768
AR09,AR,mixed,20,20,1,7.9210
AR10,AR,mixed,18,18,1,2.2719
ALG01,ALG,mixed,7,7,1,8.0373
ALG02,ALG,mixed,7,7,1,7.8064
ALG03,ALG,mixed,4,4,1,7.4231
ALG04,ALG,mixed,24,24,1,8.2116
ALG05,ALG,mixed,2,2,1,8.5903
ALG06,ALG,mixed,13,13,1,8.3591
ALG07,ALG,mixed,2,2,1,7.7113
ALG08,ALG,mixed,5,5,1,8.2318
ALG09,ALG,mixed,7,7,1,8.3742
ALG10,ALG,mixed,16,16,1,9.2650
LOG01,LOG,mixed,Yes,Yes,1,9.0266
LOG02,LOG,mixed,No,Yes,0,8.9267
LOG03,LOG,mixed,No,Yes,0,10.4740
LOG04,LOG,mixed,Yes,Yes,1,8.8302
LOG05,LOG,mixed,Yes,Yes,1,9.1435
LOG06,LOG,mixed,Yes,Yes,1,9.2198
LOG07,LOG,mixed,No,No,1,9.1839
LOG08,LOG,mixed,No,Yes,0,9.4571
LOG09,LOG,mixed,No,No,1,9.0581
LOG10,LOG,mixed,Yes,No,0,9.0614
WP01,WP,mixed,48,48,1,1.6474
WP02,WP,mixed,40,40,1,7.5702
WP03,WP,mixed,18,18,1,9.3254
WP04,WP,mixed,30,30,1,1.7843
WP05,WP,mixed,2,2,1,10.3710
WP06,WP,mixed,10,10,1,10.3248
WP07,WP,mixed,4,4,1,9.6849
WP08,WP,mixed,35,35,1,10.6270
WP09,WP,mixed,30,30,1,1.7355
WP10,WP,mixed,120,120,1,10.0610
AR11,AR,mixed,180,180,1,7.6236
AR12,AR,mixed,227,227,1,3.9326
AR13,AR,mixed,23,23,1,1.7158
AR14,AR,mixed,4524,4524,1,2.2947
AR15,AR,mixed,931,931,1,8.6478
AR16,AR,mixed,25,25,1,1.6418
AR17,AR,mixed,90,90,1,7.9308
AR18,AR,mixed,499,499,1,8.0565
AR19,AR,mixed,8,8,1,7.4760
AR20,AR,mixed,130,130,1,6.7237
AR21,AR,mixed,152,152,1,7.4025
AR22,AR,mixed,97,97,1,2.2301
AR23,AR,mixed,10,10,1,1.7842
AR24,AR,mixed,2660,2660,1,2.1647
AR25,AR,mixed,228,228,1,1.7388
AR26,AR,mixed,14641,14641,1,2.2290
AR27,AR,mixed,225,225,1,2.2284
AR28,AR,mixed,922,922,1,2.2361
AR29,AR,mixed,99,99,1,6.7176
AR30,AR,mixed,8,8,1,6.7619
AR31,AR,mixed,1113,1113,1,2.3088
AR32,AR,mixed,-224,-224,1,2.2882
AR33,AR,mixed,19,19,1,1.6121
AR34,AR,mixed,8645,8645,1,2.3304
AR35,AR,mixed,1264,1264,1,2.2261
AR36,AR,mixed,10000,10000,1,5.7500
AR37,AR,mixed,27,27,1,7.9825
AR38,AR,mixed,649,649,1,2.3439
AR39,AR,mixed,31,31,1,7.9023
AR40,AR,mixed,41,41,1,6.9296
AR41,AR,mixed,696,696,1,2.3144
AR42,AR,mixed,281,281,1,1.6690
AR43,AR,mixed,22,22,1,1.7093
AR44,AR,mixed,5040,5040,1,2.1898
AR45,AR,mixed,330,330,1,1.6831
AR46,AR,mixed,14641,14641,1,2.2336
AR47,AR,mixed,474,474,1,2.2255
AR48,AR,mixed,657,657,1,2.2646
AR49,AR,mixed,180,180,1,6.9779
AR50,AR,mixed,98,108,0,6.9448
AR51,AR,mixed,1116,1116,1,2.2620
AR52,AR,mixed,32,32,1,2.2462
AR53,AR,mixed,27,27,1,1.7269
AR54,AR,mixed,504,504,1,1.7113
AR55,AR,mixed,912,912,1,8.5854
AR56,AR,mixed,14641,14641,1,2.3027
AR57,AR,mixed,204,204,1,8.1863
AR58,AR,mixed,675,675,1,2.3235
AR59,AR,mixed,55,55,1,7.1673
AR60,AR,mixed,108,108,1,7.0284
AR61,AR,mixed,408,408,1,2.3319
AR62,AR,mixed,259,259,1,1.6397
AR63,AR,mixed,17,17,1,1.8588
AR64,AR,mixed,980,980,1,1.7077
AR65,AR,mixed,1064,1064,1,8.8007
AR66,AR,mixed,100,100,1,5.8615
AR67,AR,mixed,384,384,1,1.7126
AR68,AR,mixed,233,233,1,1.7359
AR69,AR,mixed,95,95,1,7.0475
AR70,AR,mixed,146,146,1,6.7617
AR71,AR,mixed,810,810,1,7.7135
AR72,AR,mixed,-100,-100,1,2.3307
AR73,AR,mixed,28,28,1,1.6933
AR74,AR,mixed,4134,4134,1,2.1639
AR75,AR,mixed,404,404,1,8.4251
AR76,AR,mixed,2744,2744,1,2.2303
AR77,AR,mixed,280,280,1,1.7321
AR78,AR,mixed,648,648,1,2.2174
AR79,AR,mixed,54,54,1,1.7685
AR80,AR,mixed,32,32,1,6.8703
AR81,AR,mixed,301,301,1,2.2694
AR82,AR,mixed,324,324,1,1.6938
AR83,AR,mixed,10,10,1,1.6492
AR84,AR,mixed,1817,1817,1,2.1335
AR85,AR,mixed,665,665,1,8.5374
AR86,AR,mixed,216,216,1,1.7163
AR87,AR,mixed,155,155,1,1.7578
