id,category,trial,route,expected_answer,final_output,correct,error_code,latency_wall_s,verify_used,verify_pass,fallback_used,sym_expr,sym_output,log_file
AR01,AR,1,LLM+VERIFY_PASS,408,408,1,E0,6.0060,1,1,0,17 * 24,408,runs_hybrid_v2/20251221_193934/logs/AR01__AR__t1.json
AR02,AR,1,LLM+VERIFY_PASS,266,266,1,E0,6.3209,1,1,0,38 * 7,266,runs_hybrid_v2/20251221_193934/logs/AR02__AR__t1.json
AR03,AR,1,LLM+VERIFY_PASS,784,784,1,E0,6.9530,1,1,0,56 * 14,784,runs_hybrid_v2/20251221_193934/logs/AR03__AR__t1.json
AR04,AR,1,LLM+VERIFY_PASS,613,613,1,E0,2.3145,1,1,0,1000 - 387,613,runs_hybrid_v2/20251221_193934/logs/AR04__AR__t1.json
AR05,AR,1,LLM+VERIFY_PASS,25,25,1,E0,1.6585,1,1,0,625 / 25,25,runs_hybrid_v2/20251221_193934/logs/AR05__AR__t1.json
AR06,AR,1,LLM+VERIFY_PASS,12,12,1,E0,1.7392,1,1,0,144 / 12,12,runs_hybrid_v2/20251221_193934/logs/AR06__AR__t1.json
AR07,AR,1,LLM+VERIFY_PASS,225,225,1,E0,1.6821,1,1,0,15^2,225,runs_hybrid_v2/20251221_193934/logs/AR07__AR__t1.json
AR08,AR,1,LLM+VERIFY_PASS,729,729,1,E0,2.2768,1,1,0,9^3,729,runs_hybrid_v2/20251221_193934/logs/AR08__AR__t1.json
AR09,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,20,20,1,E0,7.9210,1,0,1,(45 + 55) / 5,20,runs_hybrid_v2/20251221_193934/logs/AR09__AR__t1.json
AR10,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,18,18,1,E0,2.2719,1,0,1,81 - 9*7,18,runs_hybrid_v2/20251221_193934/logs/AR10__AR__t1.json
ALG01,ALG,1,LLM+VERIFY_PASS,7,7,1,E0,8.0373,1,1,0,x + 5 = 12,7,runs_hybrid_v2/20251221_193934/logs/ALG01__ALG__t1.json
ALG02,ALG,1,LLM+VERIFY_PASS,7,7,1,E0,7.8064,1,1,0,3x = 21,7,runs_hybrid_v2/20251221_193934/logs/ALG02__ALG__t1.json
ALG03,ALG,1,LLM+VERIFY_PASS,4,4,1,E0,7.4231,1,1,0,2x + 3 = 11,4,runs_hybrid_v2/20251221_193934/logs/ALG03__ALG__t1.json
ALG04,ALG,1,LLM+VERIFY_PASS,24,24,1,E0,8.2116,1,1,0,x/4 = 6,24,runs_hybrid_v2/20251221_193934/logs/ALG04__ALG__t1.json
ALG05,ALG,1,LLM+VERIFY_PASS,2,2,1,E0,8.5903,1,1,0,5x - 10 = 0,2,runs_hybrid_v2/20251221_193934/logs/ALG05__ALG__t1.json
ALG06,ALG,1,LLM+VERIFY_PASS,13,13,1,E0,8.3591,1,1,0,7 + x = 20,13,runs_hybrid_v2/20251221_193934/logs/ALG06__ALG__t1.json
ALG07,ALG,1,LLM+VERIFY_PASS,2,2,1,E0,7.7113,1,1,0,9x + 1 = 19,2,runs_hybrid_v2/20251221_193934/logs/ALG07__ALG__t1.json
