id,category,route,expected_answer,final_output,correct,latency_wall_median_s
AR01,AR,SYM,408,408,1,0.0025
AR02,AR,SYM,266,266,1,0.0019
AR03,AR,SYM,784,784,1,0.0020
AR04,AR,SYM,613,613,1,0.0020
AR05,AR,SYM,25,25,1,0.0020
AR06,AR,SYM,12,12,1,0.0020
AR07,AR,SYM,225,225,1,0.0026
AR08,AR,SYM,729,729,1,0.0027
AR09,AR,SYM,20,20,1,0.0022
AR10,AR,SYM,18,18,1,0.0020
ALG01,ALG,SYM,7,7,1,0.0959
ALG02,ALG,SYM,7,7,1,0.0118
ALG03,ALG,SYM,4,4,1,0.0122
ALG04,ALG,SYM,24,24,1,0.0118
ALG05,ALG,SYM,2,2,1,0.0113
ALG06,ALG,SYM,13,13,1,0.0079
ALG07,ALG,SYM,2,2,1,0.0120
ALG08,ALG,SYM,5,5,1,0.0074
ALG09,ALG,SYM,7,7,1,0.0115
ALG10,ALG,SYM,16,16,1,0.0146
LOG01,LOG,LLM,Yes,Yes,1,3.6787
LOG02,LOG,LLM,No,Yes,0,8.7124
LOG03,LOG,LLM,No,Yes,0,3.8113
LOG04,LOG,LLM,Yes,Yes,1,1.4514
LOG05,LOG,LLM,Yes,Yes,1,1.4403
LOG06,LOG,LLM,Yes,Yes,1,3.7958
LOG07,LOG,LLM,No,No,1,3.8168
LOG08,LOG,LLM,No,Yes,0,10.5484
LOG09,LOG,LLM,No,No,1,3.8345
LOG10,LOG,LLM,Yes,No,0,3.8305
WP01,WP,LLM,48,48,1,1.4598
WP02,WP,LLM,40,40,1,5.3865
WP03,WP,LLM,18,18,1,7.1407
WP04,WP,LLM,30,30,1,1.4562
WP05,WP,LLM,2,2,1,8.1490
WP06,WP,LLM,10,10,1,8.2552
WP07,WP,LLM,4,4,1,7.9909
WP08,WP,LLM,35,35,1,8.7796
WP09,WP,LLM,30,30,1,1.5050
WP10,WP,LLM,120,120,1,8.2865
AR11,AR,SYM,180,180,1,0.0025
AR12,AR,SYM,227,227,1,0.0023
AR13,AR,SYM,23,23,1,0.0022
AR14,AR,SYM,4524,4524,1,0.0021
AR15,AR,SYM,931,931,1,0.0025
AR16,AR,SYM,25,25,1,0.0020
AR17,AR,SYM,90,90,1,0.0024
AR18,AR,SYM,499,499,1,0.0023
AR19,AR,SYM,8,8,1,0.0020
AR20,AR,SYM,130,,0,0.0017
AR21,AR,SYM,152,152,1,0.0024
AR22,AR,SYM,97,97,1,0.0022
AR23,AR,SYM,10,10,1,0.0021
AR24,AR,SYM,2660,2660,1,0.0020
AR25,AR,SYM,228,228,1,0.0023
AR26,AR,SYM,14641,14641,1,0.0024
AR27,AR,SYM,225,225,1,0.0020
AR28,AR,SYM,922,922,1,0.0021
AR29,AR,SYM,99,99,1,0.0024
AR30,AR,SYM,8,,0,0.0016
AR31,AR,SYM,1113,1113,1,0.0022
AR32,AR,SYM,-224,-224,1,0.0021
AR33,AR,SYM,19,19,1,0.0020
AR34,AR,SYM,8645,8645,1,0.0020
AR35,AR,SYM,1264,1264,1,0.0023
AR36,AR,SYM,10000,10000,1,0.0025
AR37,AR,SYM,27,27,1,0.0023
AR38,AR,SYM,649,649,1,0.0023
AR39,AR,SYM,31,31,1,0.0023
AR40,AR,SYM,41,,0,0.0017
AR41,AR,SYM,696,696,1,0.0023
AR42,AR,SYM,281,281,1,0.0022
AR43,AR,SYM,22,22,1,0.0022
AR44,AR,SYM,5040,5040,1,0.0022
AR45,AR,SYM,330,330,1,0.0025
AR46,AR,SYM,14641,14641,1,0.0019
AR47,AR,SYM,474,474,1,0.0024
AR48,AR,SYM,657,657,1,0.0022
AR49,AR,SYM,180,180,1,0.0020
AR50,AR,SYM,98,,0,0.0016
AR51,AR,SYM,1116,1116,1,0.0021
AR52,AR,SYM,32,32,1,0.0020
AR53,AR,SYM,27,27,1,0.0018
AR54,AR,SYM,504,504,1,0.0020
AR55,AR,SYM,912,912,1,0.0023
AR56,AR,SYM,14641,14641,1,0.0018
AR57,AR,SYM,204,204,1,0.0022
AR58,AR,SYM,675,675,1,0.0022
AR59,AR,SYM,55,55,1,0.0022
AR60,AR,SYM,108,,0,0.0016
AR61,AR,SYM,408,408,1,0.0019
AR62,AR,SYM,259,259,1,0.0020
AR63,AR,SYM,17,17,1,0.0020
AR64,AR,SYM,980,980,1,0.0019
AR65,AR,SYM,1064,1064,1,0.0023
AR66,AR,SYM,100,100,1,0.0021
AR67,AR,SYM,384,384,1,0.0021
AR68,AR,SYM,233,233,1,0.0021
AR69,AR,SYM,95,95,1,0.0022
AR70,AR,SYM,146,,0,0.0016
AR71,AR,SYM,810,810,1,0.0021
AR72,AR,SYM,-100,-100,1,0.0020
AR73,AR,SYM,28,28,1,0.0020
AR74,AR,SYM,4134,4134,1,0.0020
AR75,AR,SYM,404,404,1,0.0023
AR76,AR,SYM,2744,2744,1,0.0024
AR77,AR,SYM,280,280,1,0.0022
AR78,AR,SYM,648,648,1,0.0021
AR79,AR,SYM,54,54,1,0.0021
AR80,AR,SYM,32,,0,0.0016
AR81,AR,SYM,301,301,1,0.0021
AR82,AR,SYM,324,324,1,0.0020
AR83,AR,SYM,10,10,1,0.0018
AR84,AR,SYM,1817,1817,1,0.0020
AR85,AR,SYM,665,665,1,0.0023
AR86,AR,SYM,216,216,1,0.0024
AR87,AR,SYM,155,155,1,0.0022
AR88,AR,SYM,412,412,1,0.0021
AR89,AR,SYM,9,9,1,0.0019
AR90,AR,SYM,78,,0,0.0016
AR91,AR,SYM,276,276,1,0.0021
AR92,AR,SYM,267,267,1,0.0020
AR93,AR,SYM,24,24,1,0.0018
AR94,AR,SYM,1060,1060,1,0.0019
AR95,AR,SYM,632,632,1,0.0023
