id,category,route,trial,status,expected_answer,final_output,correct,error_code,latency_wall_s,sym_expr,sym_output,log_file
AR01,AR,SYM,1,ok,408,408,1,E0,0.0025,17 * 24,408,runs_hybrid_v1/20251221_191702/logs/AR01__SYM__t1.json
AR02,AR,SYM,1,ok,266,266,1,E0,0.0019,38 * 7,266,runs_hybrid_v1/20251221_191702/logs/AR02__SYM__t1.json
AR03,AR,SYM,1,ok,784,784,1,E0,0.0020,56 * 14,784,runs_hybrid_v1/20251221_191702/logs/AR03__SYM__t1.json
AR04,AR,SYM,1,ok,613,613,1,E0,0.0020,1000 - 387,613,runs_hybrid_v1/20251221_191702/logs/AR04__SYM__t1.json
AR05,AR,SYM,1,ok,25,25,1,E0,0.0020,625 / 25,25,runs_hybrid_v1/20251221_191702/logs/AR05__SYM__t1.json
AR06,AR,SYM,1,ok,12,12,1,E0,0.0020,144 / 12,12,runs_hybrid_v1/20251221_191702/logs/AR06__SYM__t1.json
AR07,AR,SYM,1,ok,225,225,1,E0,0.0026,15^2,225,runs_hybrid_v1/20251221_191702/logs/AR07__SYM__t1.json
AR08,AR,SYM,1,ok,729,729,1,E0,0.0027,9^3,729,runs_hybrid_v1/20251221_191702/logs/AR08__SYM__t1.json
AR09,AR,SYM,1,ok,20,20,1,E0,0.0022,(45 + 55) / 5,20,runs_hybrid_v1/20251221_191702/logs/AR09__SYM__t1.json
AR10,AR,SYM,1,ok,18,18,1,E0,0.0020,81 - 9*7,18,runs_hybrid_v1/20251221_191702/logs/AR10__SYM__t1.json
ALG01,ALG,SYM,1,ok,7,7,1,E0,0.0959,x + 5 = 12,7,runs_hybrid_v1/20251221_191702/logs/ALG01__SYM__t1.json
ALG02,ALG,SYM,1,ok,7,7,1,E0,0.0118,3x = 21,7,runs_hybrid_v1/20251221_191702/logs/ALG02__SYM__t1.json
ALG03,ALG,SYM,1,ok,4,4,1,E0,0.0122,2x + 3 = 11,4,runs_hybrid_v1/20251221_191702/logs/ALG03__SYM__t1.json
ALG04,ALG,SYM,1,ok,24,24,1,E0,0.0118,x/4 = 6,24,runs_hybrid_v1/20251221_191702/logs/ALG04__SYM__t1.json
ALG05,ALG,SYM,1,ok,2,2,1,E0,0.0113,5x - 10 = 0,2,runs_hybrid_v1/20251221_191702/logs/ALG05__SYM__t1.json
ALG06,ALG,SYM,1,ok,13,13,1,E0,0.0079,7 + x = 20,13,runs_hybrid_v1/20251221_191702/logs/ALG06__SYM__t1.json
ALG07,ALG,SYM,1,ok,2,2,1,E0,0.0120,9x + 1 = 19,2,runs_hybrid_v1/20251221_191702/logs/ALG07__SYM__t1.json
ALG08,ALG,SYM,1,ok,5,5,1,E0,0.0074,x - 8 = -3,5,runs_hybrid_v1/20251221_191702/logs/ALG08__SYM__t1.json
ALG09,ALG,SYM,1,ok,7,7,1,E0,0.0115,4(x - 2) = 20,7,runs_hybrid_v1/20251221_191702/logs/ALG09__SYM__t1.json
ALG10,ALG,SYM,1,ok,16,16,1,E0,0.0146,(x/2) + 3 = 11,16,runs_hybrid_v1/20251221_191702/logs/ALG10__SYM__t1.json
LOG01,LOG,LLM,1,ok,Yes,Yes,1,E0,3.6787,,,runs_hybrid_v1/20251221_191702/logs/LOG01__LLM__t1.json
LOG02,LOG,LLM,1,ok,No,Yes,0,E2,8.7124,,,runs_hybrid_v1/20251221_191702/logs/LOG02__LLM__t1.json
LOG03,LOG,LLM,1,ok,No,Yes,0,E2,3.8113,,,runs_hybrid_v1/20251221_191702/logs/LOG03__LLM__t1.json
LOG04,LOG,LLM,1,ok,Yes,Yes,1,E0,1.4514,,,runs_hybrid_v1/20251221_191702/logs/LOG04__LLM__t1.json
LOG05,LOG,LLM,1,ok,Yes,Yes,1,E0,1.4403,,,runs_hybrid_v1/20251221_191702/logs/LOG05__LLM__t1.json
LOG06,LOG,LLM,1,ok,Yes,Yes,1,E0,3.7958,,,runs_hybrid_v1/20251221_191702/logs/LOG06__LLM__t1.json
LOG07,LOG,LLM,1,ok,No,No,1,E0,3.8168,,,runs_hybrid_v1/20251221_191702/logs/LOG07__LLM__t1.json
LOG08,LOG,LLM,1,ok,No,Yes,0,E2,10.5484,,,runs_hybrid_v1/20251221_191702/logs/LOG08__LLM__t1.json
LOG09,LOG,LLM,1,ok,No,No,1,E0,3.8345,,,runs_hybrid_v1/20251221_191702/logs/LOG09__LLM__t1.json
LOG10,LOG,LLM,1,ok,Yes,No,0,E2,3.8305,,,runs_hybrid_v1/20251221_191702/logs/LOG10__LLM__t1.json
WP01,WP,LLM,1,ok,48,48,1,E0,1.4598,,,runs_hybrid_v1/20251221_191702/logs/WP01__LLM__t1.json
WP02,WP,LLM,1,ok,40,40,1,E0,5.3865,,,runs_hybrid_v1/20251221_191702/logs/WP02__LLM__t1.json
WP03,WP,LLM,1,ok,18,18,1,E0,7.1407,,,runs_hybrid_v1/20251221_191702/logs/WP03__LLM__t1.json
WP04,WP,LLM,1,ok,30,30,1,E0,1.4562,,,runs_hybrid_v1/20251221_191702/logs/WP04__LLM__t1.json
WP05,WP,LLM,1,ok,2,2,1,E0,8.1490,,,runs_hybrid_v1/20251221_191702/logs/WP05__LLM__t1.json
WP06,WP,LLM,1,ok,10,10,1,E0,8.2552,,,runs_hybrid_v1/20251221_191702/logs/WP06__LLM__t1.json
WP07,WP,LLM,1,ok,4,4,1,E0,7.9909,,,runs_hybrid_v1/20251221_191702/logs/WP07__LLM__t1.json
WP08,WP,LLM,1,ok,35,35,1,E0,8.7796,,,runs_hybrid_v1/20251221_191702/logs/WP08__LLM__t1.json
WP09,WP,LLM,1,ok,30,30,1,E0,1.5050,,,runs_hybrid_v1/20251221_191702/logs/WP09__LLM__t1.json
WP10,WP,LLM,1,ok,120,120,1,E0,8.2865,,,runs_hybrid_v1/20251221_191702/logs/WP10__LLM__t1.json
AR11,AR,SYM,1,ok,180,180,1,E0,0.0025,(16 + 44) * 3,180,runs_hybrid_v1/20251221_191702/logs/AR11__SYM__t1.json
AR12,AR,SYM,1,ok,227,227,1,E0,0.0023,443 - 36*6,227,runs_hybrid_v1/20251221_191702/logs/AR12__SYM__t1.json
AR13,AR,SYM,1,ok,23,23,1,E0,0.0022,46 / 2,23,runs_hybrid_v1/20251221_191702/logs/AR13__SYM__t1.json
AR14,AR,SYM,1,ok,4524,4524,1,E0,0.0021,58 * 78,4524,runs_hybrid_v1/20251221_191702/logs/AR14__SYM__t1.json
AR15,AR,SYM,1,ok,931,931,1,E0,0.0025,(81 * 7) + (52 * 7),931,runs_hybrid_v1/20251221_191702/logs/AR15__SYM__t1.json
AR16,AR,SYM,1,ok,25,25,1,E0,0.0020,5^2,25,runs_hybrid_v1/20251221_191702/logs/AR16__SYM__t1.json
AR17,AR,SYM,1,ok,90,90,1,E0,0.0024,(63 / 7) * 10,90,runs_hybrid_v1/20251221_191702/logs/AR17__SYM__t1.json
AR18,AR,SYM,1,ok,499,499,1,E0,0.0023,(441 + 99) - 41,499,runs_hybrid_v1/20251221_191702/logs/AR18__SYM__t1.json
AR19,AR,SYM,1,ok,8,8,1,E0,0.0020,(32 * 2) / 8,8,runs_hybrid_v1/20251221_191702/logs/AR19__SYM__t1.json
AR20,AR,SYM,1,err,130,,0,E8,0.0017,,,runs_hybrid_v1/20251221_191702/logs/AR20__SYM__t1.json
AR21,AR,SYM,1,ok,152,152,1,E0,0.0024,(58 + 18) * 2,152,runs_hybrid_v1/20251221_191702/logs/AR21__SYM__t1.json
AR22,AR,SYM,1,ok,97,97,1,E0,0.0022,211 - 38*3,97,runs_hybrid_v1/20251221_191702/logs/AR22__SYM__t1.json
AR23,AR,SYM,1,ok,10,10,1,E0,0.0021,30 / 3,10,runs_hybrid_v1/20251221_191702/logs/AR23__SYM__t1.json
AR24,AR,SYM,1,ok,2660,2660,1,E0,0.0020,95 * 28,2660,runs_hybrid_v1/20251221_191702/logs/AR24__SYM__t1.json
AR25,AR,SYM,1,ok,228,228,1,E0,0.0023,(26 * 6) + (12 * 6),228,runs_hybrid_v1/20251221_191702/logs/AR25__SYM__t1.json
AR26,AR,SYM,1,ok,14641,14641,1,E0,0.0024,11^4,14641,runs_hybrid_v1/20251221_191702/logs/AR26__SYM__t1.json
AR27,AR,SYM,1,ok,225,225,1,E0,0.0020,(150 / 6) * 9,225,runs_hybrid_v1/20251221_191702/logs/AR27__SYM__t1.json
AR28,AR,SYM,1,ok,922,922,1,E0,0.0021,(957 + 14) - 49,922,runs_hybrid_v1/20251221_191702/logs/AR28__SYM__t1.json
AR29,AR,SYM,1,ok,99,99,1,E0,0.0024,(55 * 9) / 5,99,runs_hybrid_v1/20251221_191702/logs/AR29__SYM__t1.json
AR30,AR,SYM,1,err,8,,0,E8,0.0016,,,runs_hybrid_v1/20251221_191702/logs/AR30__SYM__t1.json
AR31,AR,SYM,1,ok,1113,1113,1,E0,0.0022,(77 + 82) * 7,1113,runs_hybrid_v1/20251221_191702/logs/AR31__SYM__t1.json
AR32,AR,SYM,1,ok,-224,-224,1,E0,0.0021,56 - 35*8,-224,runs_hybrid_v1/20251221_191702/logs/AR32__SYM__t1.json
AR33,AR,SYM,1,ok,19,19,1,E0,0.0020,190 / 10,19,runs_hybrid_v1/20251221_191702/logs/AR33__SYM__t1.json
AR34,AR,SYM,1,ok,8645,8645,1,E0,0.0020,91 * 95,8645,runs_hybrid_v1/20251221_191702/logs/AR34__SYM__t1.json
AR35,AR,SYM,1,ok,1264,1264,1,E0,0.0023,(86 * 8) + (72 * 8),1264,runs_hybrid_v1/20251221_191702/logs/AR35__SYM__t1.json
AR36,AR,SYM,1,ok,10000,10000,1,E0,0.0025,10^4,10000,runs_hybrid_v1/20251221_191702/logs/AR36__SYM__t1.json
AR37,AR,SYM,1,ok,27,27,1,E0,0.0023,(36 / 4) * 3,27,runs_hybrid_v1/20251221_191702/logs/AR37__SYM__t1.json
AR38,AR,SYM,1,ok,649,649,1,E0,0.0023,(598 + 94) - 43,649,runs_hybrid_v1/20251221_191702/logs/AR38__SYM__t1.json
AR39,AR,SYM,1,ok,31,31,1,E0,0.0023,(31 * 7) / 7,31,runs_hybrid_v1/20251221_191702/logs/AR39__SYM__t1.json
AR40,AR,SYM,1,err,41,,0,E8,0.0017,,,runs_hybrid_v1/20251221_191702/logs/AR40__SYM__t1.json
