system,run_tag,variant,category,n,accuracy_pct,median_latency_s
baseline_phi2_server,20251221_180858,phi2_server_grammar,ALG,100,55.00000000000001,2.9391
baseline_phi2_server,20251221_180858,phi2_server_grammar,ALL,400,66.5,1.7535
baseline_phi2_server,20251221_180858,phi2_server_grammar,AR,100,52.0,1.76905
baseline_phi2_server,20251221_180858,phi2_server_grammar,LOG,100,60.0,1.7235
baseline_phi2_server,20251221_180858,phi2_server_grammar,WP,100,99.0,1.6735
baseline_phi2_server,20251221_180858,phi2_server_nogrammar,ALG,100,55.00000000000001,8.558499999999999
baseline_phi2_server,20251221_180858,phi2_server_nogrammar,ALL,400,66.5,8.0051
baseline_phi2_server,20251221_180858,phi2_server_nogrammar,AR,100,52.0,7.2133
baseline_phi2_server,20251221_180858,phi2_server_nogrammar,LOG,100,60.0,4.5832
baseline_phi2_server,20251221_180858,phi2_server_nogrammar,WP,100,99.0,9.715250000000001
hybrid_v1,20251221_191702,hybrid_v1,ALG,100,100.0,0.00775
hybrid_v1,20251221_191702,hybrid_v1,ALL,400,87.5,0.7681
hybrid_v1,20251221_191702,hybrid_v1,AR,100,91.0,0.0021
hybrid_v1,20251221_191702,hybrid_v1,LOG,100,60.0,4.37085
hybrid_v1,20251221_191702,hybrid_v1,WP,100,99.0,9.8375
hybrid_v2,20251221_193934,hybrid_v2,ALG,100,100.0,8.23585
hybrid_v2,20251221_193934,hybrid_v2,ALL,400,89.5,8.879249999999999
hybrid_v2,20251221_193934,hybrid_v2,AR,100,99.0,2.27065
hybrid_v2,20251221_193934,hybrid_v2,LOG,100,60.0,12.1902
hybrid_v2,20251221_193934,hybrid_v2,WP,100,99.0,9.762450000000001
