id,category,variant,trial,status,latency_wall_s,latency_compute_s,expected_answer,final_output,correct,log_file
AR01,AR,phi2_server_nogrammar,1,ok,1.4177,1.3932,408,408,1,runs_server/20251221_180858/logs/AR01__phi2_server_nogrammar__t1.json
AR01,AR,phi2_server_grammar,1,ok,1.3627,1.3565,408,408,1,runs_server/20251221_180858/logs/AR01__phi2_server_grammar__t1.json
AR02,AR,phi2_server_nogrammar,1,ok,1.3972,1.3815,266,266,1,runs_server/20251221_180858/logs/AR02__phi2_server_nogrammar__t1.json
AR02,AR,phi2_server_grammar,1,ok,1.3607,1.3562,266,266,1,runs_server/20251221_180858/logs/AR02__phi2_server_grammar__t1.json
AR03,AR,phi2_server_nogrammar,1,ok,1.8142,1.7990,784,784,1,runs_server/20251221_180858/logs/AR03__phi2_server_nogrammar__t1.json
AR03,AR,phi2_server_grammar,1,ok,1.7969,1.7923,784,784,1,runs_server/20251221_180858/logs/AR03__phi2_server_grammar__t1.json
AR04,AR,phi2_server_nogrammar,1,ok,1.8300,1.8143,613,613,1,runs_server/20251221_180858/logs/AR04__phi2_server_nogrammar__t1.json
AR04,AR,phi2_server_grammar,1,ok,1.8341,1.8294,613,613,1,runs_server/20251221_180858/logs/AR04__phi2_server_grammar__t1.json
AR05,AR,phi2_server_nogrammar,1,ok,1.4363,1.4198,25,25,1,runs_server/20251221_180858/logs/AR05__phi2_server_nogrammar__t1.json
AR05,AR,phi2_server_grammar,1,ok,1.4278,1.4227,25,25,1,runs_server/20251221_180858/logs/AR05__phi2_server_grammar__t1.json
AR06,AR,phi2_server_nogrammar,1,ok,1.4201,1.4041,12,12,1,runs_server/20251221_180858/logs/AR06__phi2_server_nogrammar__t1.json
AR06,AR,phi2_server_grammar,1,ok,1.4049,1.4001,12,12,1,runs_server/20251221_180858/logs/AR06__phi2_server_grammar__t1.json
AR07,AR,phi2_server_nogrammar,1,ok,1.4268,1.4107,225,225,1,runs_server/20251221_180858/logs/AR07__phi2_server_nogrammar__t1.json
AR07,AR,phi2_server_grammar,1,ok,1.4333,1.4282,225,225,1,runs_server/20251221_180858/logs/AR07__phi2_server_grammar__t1.json
AR08,AR,phi2_server_nogrammar,1,ok,1.9193,1.9015,729,729,1,runs_server/20251221_180858/logs/AR08__phi2_server_nogrammar__t1.json
AR08,AR,phi2_server_grammar,1,ok,1.8992,1.8945,729,729,1,runs_server/20251221_180858/logs/AR08__phi2_server_grammar__t1.json
AR09,AR,phi2_server_nogrammar,1,ok,1.4285,1.4106,20,56,0,runs_server/20251221_180858/logs/AR09__phi2_server_nogrammar__t1.json
AR09,AR,phi2_server_grammar,1,ok,1.4109,1.4060,20,56,0,runs_server/20251221_180858/logs/AR09__phi2_server_grammar__t1.json
AR10,AR,phi2_server_nogrammar,1,ok,1.9040,1.8797,18,-54,0,runs_server/20251221_180858/logs/AR10__phi2_server_nogrammar__t1.json
AR10,AR,phi2_server_grammar,1,ok,1.9030,1.8983,18,-54,0,runs_server/20251221_180858/logs/AR10__phi2_server_grammar__t1.json
ALG01,ALG,phi2_server_nogrammar,1,ok,6.8233,6.8045,7,7,1,runs_server/20251221_180858/logs/ALG01__phi2_server_nogrammar__t1.json
ALG01,ALG,phi2_server_grammar,1,ok,2.3460,2.3412,7,7,1,runs_server/20251221_180858/logs/ALG01__phi2_server_grammar__t1.json
ALG02,ALG,phi2_server_nogrammar,1,ok,5.6169,5.5965,7,7,1,runs_server/20251221_180858/logs/ALG02__phi2_server_nogrammar__t1.json
ALG02,ALG,phi2_server_grammar,1,ok,2.3644,2.3592,7,7,1,runs_server/20251221_180858/logs/ALG02__phi2_server_grammar__t1.json
ALG03,ALG,phi2_server_nogrammar,1,ok,6.2292,6.2084,4,4,1,runs_server/20251221_180858/logs/ALG03__phi2_server_nogrammar__t1.json
ALG03,ALG,phi2_server_grammar,1,ok,2.3528,2.3480,4,4,1,runs_server/20251221_180858/logs/ALG03__phi2_server_grammar__t1.json
ALG04,ALG,phi2_server_nogrammar,1,ok,6.0750,6.0466,24,24,1,runs_server/20251221_180858/logs/ALG04__phi2_server_nogrammar__t1.json
ALG04,ALG,phi2_server_grammar,1,ok,2.3605,2.3555,24,24,1,runs_server/20251221_180858/logs/ALG04__phi2_server_grammar__t1.json
ALG05,ALG,phi2_server_nogrammar,1,ok,6.6122,6.5899,2,2,1,runs_server/20251221_180858/logs/ALG05__phi2_server_nogrammar__t1.json
ALG05,ALG,phi2_server_grammar,1,ok,2.3636,2.3587,2,2,1,runs_server/20251221_180858/logs/ALG05__phi2_server_grammar__t1.json
ALG06,ALG,phi2_server_nogrammar,1,ok,6.4025,6.3809,13,13,1,runs_server/20251221_180858/logs/ALG06__phi2_server_nogrammar__t1.json
ALG06,ALG,phi2_server_grammar,1,ok,2.4027,2.3977,13,13,1,runs_server/20251221_180858/logs/ALG06__phi2_server_grammar__t1.json
ALG07,ALG,phi2_server_nogrammar,1,ok,6.8255,6.8045,2,2,1,runs_server/20251221_180858/logs/ALG07__phi2_server_nogrammar__t1.json
ALG07,ALG,phi2_server_grammar,1,ok,2.4362,2.4309,2,2,1,runs_server/20251221_180858/logs/ALG07__phi2_server_grammar__t1.json
ALG08,ALG,phi2_server_nogrammar,1,ok,6.7849,6.7570,5,5,1,runs_server/20251221_180858/logs/ALG08__phi2_server_nogrammar__t1.json
ALG08,ALG,phi2_server_grammar,1,ok,2.4103,2.4054,5,5,1,runs_server/20251221_180858/logs/ALG08__phi2_server_grammar__t1.json
ALG09,ALG,phi2_server_nogrammar,1,ok,7.7244,7.7018,7,8,0,runs_server/20251221_180858/logs/ALG09__phi2_server_nogrammar__t1.json
ALG09,ALG,phi2_server_grammar,1,ok,2.4778,2.4726,7,8,0,runs_server/20251221_180858/logs/ALG09__phi2_server_grammar__t1.json
ALG10,ALG,phi2_server_nogrammar,1,ok,8.2182,8.1948,16,16,1,runs_server/20251221_180858/logs/ALG10__phi2_server_nogrammar__t1.json
ALG10,ALG,phi2_server_grammar,1,ok,2.4460,2.4412,16,16,1,runs_server/20251221_180858/logs/ALG10__phi2_server_grammar__t1.json
LOG01,LOG,phi2_server_nogrammar,1,ok,16.6362,16.6313,Yes,Yes,1,runs_server/20251221_180858/logs/LOG01__phi2_server_nogrammar__t1.json
