system,run_tag,variant,category,n,accuracy_pct,median_latency_s
baseline_phi2_server,20251221_180858,phi2_server_grammar,ALG,100,55.00000000000001,2.9391
baseline_phi2_server,20251221_180858,phi2_server_grammar,ALL,400,66.5,1.7535
baseline_phi2_server,20251221_180858,phi2_server_grammar,AR,100,52.0,1.76905
baseline_phi2_server,20251221_180858,phi2_server_grammar,LOG,100,60.0,1.7235
baseline_phi2_server,20251221_180858,phi2_server_grammar,WP,100,99.0,1.6735
baseline_phi2_server,20251221_180858,phi2_server_nogrammar,ALG,100,55.00000000000001,8.558499999999999
baseline_phi2_server,20251221_180858,phi2_server_nogrammar,ALL,400,66.5,8.0051
baseline_phi2_server,20251221_180858,phi2_server_nogrammar,AR,100,52.0,7.2133
baseline_phi2_server,20251221_180858,phi2_server_nogrammar,LOG,100,60.0,4.5832
baseline_phi2_server,20251221_180858,phi2_server_nogrammar,WP,100,99.0,9.715250000000001
hybrid_v1,20251221_191702,hybrid_v1,ALG,100,100.0,0.00775
hybrid_v1,20251221_191702,hybrid_v1,ALL,400,87.5,0.7681
hybrid_v1,20251221_191702,hybrid_v1,AR,100,91.0,0.0021
hybrid_v1,20251221_191702,hybrid_v1,LOG,100,60.0,4.37085
hybrid_v1,20251221_191702,hybrid_v1,WP,100,99.0,9.8375
hybrid_v2,20251221_193934,hybrid_v2,ALG,100,100.0,8.23585
hybrid_v2,20251221_193934,hybrid_v2,ALL,400,89.5,8.879249999999999
hybrid_v2,20251221_193934,hybrid_v2,AR,100,99.0,2.27065
hybrid_v2,20251221_193934,hybrid_v2,LOG,100,60.0,12.1902
hybrid_v2,20251221_193934,hybrid_v2,WP,100,99.0,9.762450000000001
baseline_phi2_server,20251222_154937,phi2_server_grammar,ALG,250,56.8,2.8782
baseline_phi2_server,20251222_154937,phi2_server_grammar,ALL,1000,65.5,1.7711000000000001
baseline_phi2_server,20251222_154937,phi2_server_grammar,AR,250,43.6,1.9693500000000002
baseline_phi2_server,20251222_154937,phi2_server_grammar,LOG,250,62.0,1.7357
baseline_phi2_server,20251222_154937,phi2_server_grammar,WP,250,99.6,1.6126
baseline_phi2_server,20251222_154937,phi2_server_nogrammar,ALG,250,56.8,6.9396
baseline_phi2_server,20251222_154937,phi2_server_nogrammar,ALL,1000,65.5,4.527950000000001
baseline_phi2_server,20251222_154937,phi2_server_nogrammar,AR,250,43.6,2.24795
baseline_phi2_server,20251222_154937,phi2_server_nogrammar,LOG,250,62.0,4.57235
baseline_phi2_server,20251222_154937,phi2_server_nogrammar,WP,250,99.6,6.9961
baseline_phi2_server,20251222_154937,phi2_server_grammar,ALG,250,56.8,2.8782
baseline_phi2_server,20251222_154937,phi2_server_grammar,ALL,1000,65.5,1.7711000000000001
baseline_phi2_server,20251222_154937,phi2_server_grammar,AR,250,43.6,1.9693500000000002
baseline_phi2_server,20251222_154937,phi2_server_grammar,LOG,250,62.0,1.7357
baseline_phi2_server,20251222_154937,phi2_server_grammar,WP,250,99.6,1.6126
baseline_phi2_server,20251222_154937,phi2_server_nogrammar,ALG,250,56.8,6.9396
baseline_phi2_server,20251222_154937,phi2_server_nogrammar,ALL,1000,65.5,4.527950000000001
baseline_phi2_server,20251222_154937,phi2_server_nogrammar,AR,250,43.6,2.24795
baseline_phi2_server,20251222_154937,phi2_server_nogrammar,LOG,250,62.0,4.57235
baseline_phi2_server,20251222_154937,phi2_server_nogrammar,WP,250,99.6,6.9961
